zeriloa,~
WaterlessMelon,+
Violett,+
vileman,+
TheFenderStory,+
stoner linoone,+
sparkychild,%
sparktrain,~
sparkbot,@
Ranger mike,+
QuoteCS,+
queenlucy,%
PumpHead,+
Nudisto,@
Nozzle,+
Nineage,&
Nightmare Vampire,+
Nicholas Wolfwood,+
macle,+
Krubby,+
Kappaten,&
Goddess Briyella,+
GlassGlaceon,+
freddycakes,+
Fiend Hound,+
Expulso,+
DeathxShinigami,@
CrushinDefeat,+
Corporal Levi,+
Chromatic Art,+
Champion Fizz,%
Calloflochie,+
Caledrith,+
BurgerCarbink,%
brosb4ho-ohs,+
Antgeezy,@
Amp Pharaohs,+
Aladyyn,+
Aerow,+
